Latitude,Longitude,Acceleration_x,Acceleration_y,Acceleration_z,Gyro_x,Gyro_y,Gyro_z,Temperature,Pressure,Altitude,Voltage,RfLink
2654.66489,8604.80787,-0.08,0.15,9.16,-0.03,0.04,0,42.46,989.04,203.53,3.33,1
,,,,,,,,,,,,
2654.66493,8604.80786,-0.09,0.17,9.09,-0.03,0.03,0,42.46,989.04,203.45,3.34,1
,,,,,,,,,,,,
2654.66495,8604.80785,-0.09,0.15,9.12,-0.03,0.03,0,42.46,989.04,203.54,3.32,1
,,,,,,,,,,,,
2654.66498,8604.80785,-0.07,0.16,9.13,-0.03,0.03,0,42.46,989.05,203.46,3.32,1
,,,,,,,,,,,,
2654.66498,8604.80784,-0.09,0.15,9.14,-0.03,0.03,0,42.46,989.04,203.48,3.32,1
,,,,,,,,,,,,
2654.665,8604.80783,-0.09,0.16,9.12,-0.03,0.03,0,42.46,989.05,203.44,3.32,1
,,,,,,,,,,,,
2654.66502,8604.80782,-0.09,0.17,9.13,-0.03,0.04,0,42.46,989.05,203.47,3.33,1
,,,,,,,,,,,,
2654.66505,8604.80784,-0.08,0.14,9.11,-0.03,0.04,0,42.46,989.04,203.47,3.32,1
,,,,,,,,,,,,
2654.66505,8604.80783,-0.08,0.14,9.14,-0.03,0.03,0,42.46,989.05,203.42,3.32,1
,,,,,,,,,,,,
2654.66505,8604.8078,-0.08,0.16,9.17,-0.03,0.03,0,42.46,989.05,203.48,3.32,1
,,,,,,,,,,,,
2654.66504,8604.8078,-0.1,0.16,9.12,-0.03,0.03,0,42.46,989.05,203.35,3.32,1
,,,,,,,,,,,,
2654.66507,8604.80779,-0.08,0.16,9.14,-0.03,0.03,0,42.46,989.06,203.47,3.32,1
,,,,,,,,,,,,
2654.66509,8604.80777,-0.1,0.16,9.12,-0.03,0.03,0,42.46,989.06,203.41,3.32,1
,,,,,,,,,,,,
2654.66511,8604.80777,-0.07,0.17,9.11,-0.03,0.03,0,42.47,989.05,203.44,3.32,1
,,,,,,,,,,,,
2654.66515,8604.80772,-0.1,0.15,9.13,-0.03,0.03,0,42.47,989.05,203.49,3.32,1
,,,,,,,,,,,,
2654.66516,8604.8077,-0.09,0.16,9.14,-0.03,0.03,0,42.46,989.05,203.42,3.33,1
,,,,,,,,,,,,
2654.66517,8604.80767,-0.1,0.14,9.14,-0.03,0.04,0,42.47,989.06,203.4,3.32,1
,,,,,,,,,,,,
2654.66518,8604.80765,-0.08,0.16,9.12,-0.03,0.03,0,42.47,989.05,203.46,3.32,1
,,,,,,,,,,,,
2654.66516,8604.80765,-0.09,0.17,9.13,-0.03,0.04,0,42.47,989.05,203.46,3.32,1
,,,,,,,,,,,,
2654.66517,8604.80765,-0.08,0.17,9.12,-0.03,0.03,0,42.47,989.04,203.51,3.32,1
,,,,,,,,,,,,
2654.66516,8604.80767,-0.07,0.13,9.12,-0.03,0.03,0,42.47,989.05,203.42,3.32,1
,,,,,,,,,,,,
