Acceleration_x,Acceleration_y,Acceleration_z,Gyro_x,Gyro_y,Gyro_z,Temperature,Pressure,Altitude,Voltage,Rflink
0.06,1.02,-9.34,-0.03,0.03,0.03,38.11,985.12,236.85,3.72,1
,,,,,,,,,,
0.08,1.03,-9.35,-0.03,0.03,0.03,38.11,985.13,236.82,3.91,1
,,,,,,,,,,
0.07,1.02,-9.37,-0.03,0.03,0.03,38.12,985.14,236.67,3.96,1
,,,,,,,,,,
0.09,1.03,-9.36,-0.03,0.03,0.03,38.13,985.12,236.85,3.77,1
,,,,,,,,,,
0.06,1.03,-9.33,-0.03,0.03,0.03,38.13,985.13,236.86,3.87,1
,,,,,,,,,,
0.06,1.03,-9.33,-0.03,0.03,0.03,38.14,985.12,236.95,3.95,1
,,,,,,,,,,
0.07,1.03,-9.33,-0.03,0.03,0.03,38.14,985.12,236.82,3.72,1
,,,,,,,,,,
0.06,1.02,-9.33,-0.03,0.03,0.03,38.15,985.11,236.97,3.96,1
,,,,,,,,,,
0.07,1.02,-9.36,-0.03,0.03,0.03,38.15,985.11,236.99,3.67,1
,,,,,,,,,,
0.06,1.03,-9.33,-0.03,0.03,0.04,38.15,985.1,237.05,3.88,1
,,,,,,,,,,
0.07,1.05,-9.31,-0.03,0.03,0.03,38.16,985.08,237.15,3.75,1
,,,,,,,,,,
0.06,1.01,-9.33,-0.03,0.03,0.03,38.17,985.1,237.09,3.86,1
,,,,,,,,,,
0.05,1.01,-9.34,-0.03,0.03,0.03,38.17,985.11,237.02,3.94,1
,,,,,,,,,,
0.08,1.02,-9.34,-0.03,0.03,0.03,38.18,985.08,237.2,3.73,1
,,,,,,,,,,
0.08,1.03,-9.33,-0.03,0.03,0.03,38.18,985.08,237.32,3.8,1
,,,,,,,,,,
0.07,1.02,-9.33,-0.03,0.03,0.03,38.19,985.07,237.28,3.9,1
,,,,,,,,,,
0.08,1.03,-9.35,-0.03,0.03,0.03,38.19,985.06,237.27,3.97,1
,,,,,,,,,,
0.08,1.03,-9.33,-0.03,0.03,0.03,38.2,985.08,237.2,3.82,1
,,,,,,,,,,
0.09,1.02,-9.33,-0.03,0.03,0.03,38.2,985.1,237.01,3.94,1
,,,,,,,,,,
0.06,1.02,-9.35,-0.03,0.03,0.03,38.21,985.1,237.05,3.71,1
,,,,,,,,,,
0.07,1.02,-9.32,-0.03,0.03,0.03,38.22,985.1,236.99,3.84,1
,,,,,,,,,,
0.07,1.02,-9.36,-0.03,0.03,0.03,38.22,985.1,236.94,3.69,1
,,,,,,,,,,
0.07,1.01,-9.33,-0.03,0.03,0.03,38.23,985.12,236.87,3.91,1
,,,,,,,,,,
0.06,1.04,-9.34,-0.03,0.03,0.03,38.23,985.14,236.7,3.91,1
,,,,,,,,,,
0.05,1.03,-9.33,-0.03,0.03,0.03,38.23,985.14,236.7,3.88,1
,,,,,,,,,,
0.07,1.02,-9.32,-0.03,0.03,0.03,38.24,985.14,236.74,3.67,1
,,,,,,,,,,
0.07,1.03,-9.36,-0.03,0.03,0.03,38.24,985.13,236.74,3.96,1
,,,,,,,,,,
0.07,1.03,-9.3,-0.03,0.03,0.03,38.25,985.15,236.62,3.67,1
,,,,,,,,,,
0.08,1.02,-9.32,-0.03,0.03,0.03,38.25,985.15,236.53,3.9,1
,,,,,,,,,,
0.07,1.02,-9.36,-0.03,0.03,0.03,38.26,985.17,236.48,3.94,1
,,,,,,,,,,
0.06,1.02,-9.34,-0.03,0.03,0.03,38.26,985.18,236.43,3.68,1
,,,,,,,,,,
0.06,1.03,-9.35,-0.03,0.03,0.03,38.27,985.19,236.34,3.94,1
,,,,,,,,,,
0.07,1.05,-9.33,-0.03,0.03,0.03,38.27,985.18,236.4,3.94,1
,,,,,,,,,,
0.07,1.03,-9.35,-0.03,0.03,0.03,38.28,985.19,236.24,3.82,1
,,,,,,,,,,
0.07,1.03,-9.37,-0.03,0.03,0.03,38.28,985.2,236.23,3.88,1
,,,,,,,,,,
0.07,1.02,-9.36,-0.03,0.03,0.03,38.29,985.21,236.18,3.73,1
,,,,,,,,,,
0.08,1.03,-9.34,-0.03,0.03,0.03,38.29,985.19,236.26,3.94,1
,,,,,,,,,,
0.07,1.05,-9.32,-0.03,0.03,0.03,38.3,985.2,236.23,3.93,1
,,,,,,,,,,
0.07,1.02,-9.34,-0.03,0.03,0.03,38.3,985.19,236.26,3.95,1
,,,,,,,,,,
0.07,1.03,-9.29,-0.03,0.03,0.03,38.31,985.19,236.29,3.78,1
,,,,,,,,,,
0.08,1.02,-9.35,-0.03,0.03,0.03,38.31,985.18,236.35,3.96,1
,,,,,,,,,,
0.08,1.02,-9.34,-0.03,0.03,0.03,38.32,985.19,236.28,3.95,1
,,,,,,,,,,
0.07,1.02,-9.34,-0.03,0.03,0.03,38.32,985.18,236.36,3.87,1
,,,,,,,,,,
0.07,1.02,-9.36,-0.03,0.03,0.03,38.33,985.18,236.31,3.72,1
,,,,,,,,,,
0.07,1.03,-9.34,-0.03,0.03,0.03,38.33,985.18,236.37,3.97,1
,,,,,,,,,,
0.07,1.04,-9.35,-0.03,0.03,0.03,38.33,985.18,236.46,3.68,1
,,,,,,,,,,
0.09,1.03,-9.34,-0.03,0.03,0.03,38.34,985.16,236.55,3.89,1
,,,,,,,,,,
0.09,1.06,-9.34,-0.03,0.03,0.03,38.35,985.15,236.53,3.92,1
,,,,,,,,,,
0.08,1.02,-9.34,-0.03,0.03,0.03,38.35,985.16,236.59,3.87,1
,,,,,,,,,,
0.06,1.03,-9.33,-0.03,0.03,0.03,38.36,985.15,236.68,3.89,1
,,,,,,,,,,
0.09,1.01,-9.32,-0.03,0.03,0.03,38.36,985.14,236.76,3.83,1
,,,,,,,,,,
0.07,1.03,-9.36,-0.03,0.03,0.03,38.37,985.12,236.98,3.96,1
,,,,,,,,,,
0.08,1.03,-9.35,-0.03,0.03,0.03,38.37,985.1,236.95,3.68,1
,,,,,,,,,,
0.07,1.04,-9.32,-0.03,0.03,0.03,38.38,985.11,236.98,3.96,1
,,,,,,,,,,
0.06,1.01,-9.36,-0.03,0.03,0.03,38.38,985.08,237.22,3.94,1
,,,,,,,,,,
0.06,1.05,-9.31,-0.03,0.03,0.03,38.39,985.07,237.37,3.93,1
,,,,,,,,,,
0.06,1.03,-9.33,-0.03,0.03,0.03,38.39,985.05,237.5,3.95,1
,,,,,,,,,,
0.11,1.02,-9.35,-0.03,0.03,0.03,38.4,985.03,237.69,3.68,1
,,,,,,,,,,
0.06,1.01,-9.34,-0.03,0.03,0.03,38.4,985.01,237.78,3.68,1
,,,,,,,,,,
0.08,1.01,-9.36,-0.03,0.03,0.03,38.41,985,237.94,3.95,1
,,,,,,,,,,
0.08,1.01,-9.36,-0.03,0.03,0.03,38.41,985,237.94,3.95,0
,,,,,,,,,,
0.09,1.02,-9.36,-0.03,0.03,0.03,38.42,984.98,237.98,3.87,1
,,,,,,,,,,
0.06,1.03,-9.37,-0.03,0.03,0.04,38.42,984.99,238.1,3.71,1
,,,,,,,,,,
0.07,1.02,-9.32,-0.03,0.03,0.03,38.43,984.96,238.19,3.82,1
,,,,,,,,,,
0.08,1.02,-9.33,-0.03,0.03,0.03,38.44,984.95,238.28,3.77,1
,,,,,,,,,,
0.06,1.02,-9.32,-0.03,0.03,0.03,38.44,984.96,238.25,3.96,1
,,,,,,,,,,
0.07,1.04,-9.31,-0.03,0.03,0.03,38.45,984.96,238.3,3.67,1
,,,,,,,,,,
0.07,1.05,-9.34,-0.03,0.03,0.04,38.45,984.96,238.3,3.67,1
,,,,,,,,,,
0.11,1.03,-9.34,-0.03,0.03,0.03,38.45,984.94,238.47,3.76,1
,,,,,,,,,,
0.08,1.05,-9.36,-0.03,0.03,0.03,38.46,984.93,238.61,3.97,1
,,,,,,,,,,
0.06,1.03,-9.33,-0.03,0.03,0.03,38.46,984.92,238.57,3.84,1
,,,,,,,,,,
0.06,1.03,-9.36,-0.03,0.03,0.03,38.47,984.91,238.73,3.96,1
,,,,,,,,,,
0.07,1.03,-9.34,-0.03,0.03,0.03,38.47,984.9,238.8,3.91,1
,,,,,,,,,,
0.07,1.03,-9.32,-0.03,0.03,0.03,38.48,984.89,238.89,3.96,1
,,,,,,,,,,
